ID,ENG,FIL,polarity
1,abash,tarantahin,negative
2,abhor,mapoot,negative
3,abhorred,abhorred,negative
4,abhorrence,poot,negative
5,abhors,abhors,negative
6,abide,mamalagi,positive
7,abides,sumusunod,positive
8,abominable,kasuklam-suklam,negative
9,abominably,abominably,negative
10,abomination,pagkasuklam,negative
11,abrasive,nakasasakit,negative
12,absent-minded,absent ang pag-iisip,negative
13,absolve,magpawalang-sala,positive
14,absolves,mapawalang-sala,positive
15,absolved,napawalang-sala,positive
16,absolute,lubos,neutral
17,absolutely,walang pasubali,neutral
18,absurd,walang katotohanan,negative
19,absurdity,kahangalan,negative
20,absurdly,pabaligho,negative
21,absurdness,absurdness,negative
22,abuse,pag-abuso,negative
23,abuses,nang-aabusos,negative
24,abusive,abusado,negative
25,abysmal,hindi maarok,negative
26,abysmally,abysmally,negative
27,abyss,isang hindi maarok na kalaliman,negative
28,accede,pumayag,positive
29,accentuate,magpatingkad,neutral
30,acclaim,pagbubunyi,positive
31,acclaims,pinagbubunyi,positive
32,acclaimed,acclaimed,positive
33,acclamation,palakpakan,positive
34,accolade,puri,positive
35,accolades,accolades,positive
36,accursed,sinumpa,negative
37,accusation,bigay-sala,negative
38,accusations,accusations,negative
39,accuse,akusahan,negative
40,accuses,accuses,negative
41,accusing,akusasyon,negative
42,accusingly,accusingly,negative
43,acerbate,sumama ang loob,negative
44,acerbic,maasim,negative
45,acerbically,acerbically,negative
46,ache,sumakit,negative
47,aches,sumasakit,negative
48,acrid,mapakla,negative
49,acridly,acridly,negative
50,acridness,acridness,negative
51,acrimonious,masakit,negative
52,acrimoniously,acrimoniously,negative
53,acrimony,tulis,negative
54,activist,aktibista,neutral
55,activist,activista,neutral
56,actual,tunay,neutral
57,actuality,katunayan,neutral
58,actually,talaga,neutral
59,acumen,katalasan ng isip,positive
60,adamant,matatag,negative
61,adamantly,adamantly,negative
62,admirable,kapuri-puri,positive
63,admirer,tagahanga,positive
64,admirably,admirably,positive
65,admiration,paghanga,positive
66,admire,humanga,positive
67,admires,humahanga,positive
68,admiring,hanga,positive
69,admiringly,admiringly,positive
70,admit,umamin,positive
71,admits,inaamin,neutral
72,admitted,inamin,neutral
73,admittedly,tinatanggap na,positive
74,admonish,pagsabihan,negative
75,admonishes,pinagsasabihan,negative
76,admonished,pinagsabihan,negative
77,admonisher,admonisher,negative
78,admonishingly,admonishingly,negative
79,admonishment,admonishment,negative
80,admonition,pagpapaalaala,negative
81,adolescents,kabataan,neutral
82,adorable,kaibig-ibig,positive
83,adore,pakamahalin,positive
84,adored,adored,positive
85,adores,minamahal,positive
86,adoring,adoring,positive
87,adoringly,adoringly,positive
88,adroit,sanay,positive
89,adulation,paglalangis,negative
90,adulterate,may banto,negative
91,adulterated,adulterado,negative
92,adulteration,pagbabanto,negative
93,advantageous,magaling,positive
94,adventuresome,adventuresome,positive
95,adventurism,adventurism,positive
96,adversity,kagipitan,negative
97,advocate,tagataguyod,positive
98,advocates,tinataguyod,positive
99,advocacy,pagtatanggol,positive
100,affable,madaling lapitan,positive
101,affected,apektado,neutral
102,affection,pagmamahal,positive
103,affectionate,magiliw,positive
104,affirm,magpatibay,positive
105,affirms,pinagtitibay,positive
106,affirmation,paninindigan,positive
107,afflict,afflict,negative
108,afflicts,afflicts,negative
109,afflictive,afflictive,negative
110,affront,lantaran,negative
111,afraid,takot,negative
112,aggravate,magpalubha,negative
113,aggravated,pinalubha,negative
114,aggravates,pinalulubha,negative
115,aggravating,nagpapalubha,negative
116,aggravation,paglala,negative
117,aggression,handulong,negative
118,aggressive,agresibo,negative
119,aggressiveness,handulong,negative
120,aggressor,aggressor,negative
121,aggrieve,magpalungkot,negative
122,aggrieved,agrabyado,negative
123,aghast,takot,negative
124,agitate,makabagabag,negative
125,agitated,nabalisa,negative
126,agitation,pagtatalo,negative
127,agitator,manunulsol,negative
128,agonies,agonies,negative
129,agonize,maghirap,negative
130,agonizes,naghihirap,negative
131,agonizing,naghihirap,negative
132,agonizingly,agonizingly,negative
133,agony,paghihingalo,negative
134,agree,sumang-ayon,positive
135,agrees,sumang-ayon,positive
136,agreeability,agreeability,positive
137,agreeable,nakalulugod,positive
138,agreeableness,hiyang,positive
139,agreeably,nakalulugod,positive
140,aha,aha,neutral
141,aimless,walang layon,negative
142,air,himpapawid,neutral
