"text","hate"
"Madrama tong si Binay",1
"Kailangan maipaliwanag kung saan napunta yung funding ng Yolanda,"" Sa isang panayam kay Senator Manny Pacuiao, kinuwestyon at binanatan ng senador ang prayoridad ng mga Ombudsman.",0
"Kwento ni Fowler, nasaksihan niya ang paghihirap ng kanyang kaibigan noong nagbubuntis pa lamang ito.",0
"Mapapajusko ka nalang pag pinapalabas yung campaign ad ni Binay ??????????",1
"""katakot dmi nyo😂😂😂...sa election nga d kayo umubra sa rally pa kaya😂😂😂..wla na kayo mauuto..bye,"" sabi ni J. Ecko. """,1
"Kung Black Propaganda man yung binabato kay Binay, edi totoo pa rin yon. ""BLACK"" eh.",1
"wag kayong magsa2wa sa paglaban ng ating karapatn sir VP Binay 
#MambobolangDuterte",1
"Kokey (Binay) on it again. Please... Dont me. Dont us. ??",1
"Mar Roxas: ""We will be victorious.""

Me: Tignan natin. Wag kalang mandaya so shut up ka nalang!!!",1
"Tangna nung comment ni Mar Roxas dun sa NAIA scam. God bless Pinas pag siya nanalo.",1
"When you see people working hard for their future, nakakahiya magreklamo na ang hirap ng buhay,"" Ayon kay Analyn.",0
"May bagong pambababoy sa pader ng Araullo High School sa Lungsod ng Maynila.",0
"Sa ngayon ay nakaalis na sa isla ang babaeng Taiwanese at ng kanyang nobyo.",0
"Iyong language niya, English, Tagalog, Cebuano,"" ani Anton.",0
"""Share ko lang, lalo sa mga kaibigan natin dyan na nagbebenta ng food.",0
"TV5 NewsAlert: Mendoza, susuportahan ang kandidatura ni Vice President Jejomar Binay",0
"ang ganda ng bagong campaign ad ni Binay. nakaka goosebumps sobra. grabe. kainis. pota. char.",1
"Poe=The Unconstitutional Pres.
Binay=The Corrupt Pres.
Duterte=The Unwilling Pres.
Roxas=The Wishful Pres.
Santiago=The Educated Pres.
#2016",1
"""Huwag mo po sanang kalimutan: ICAD, hindi CHR ang pinamumunuan mo.",0
"AYOS KA LANG BA MAR ROXAS?? HA??
SERYOSONG TANONG BA YAN WTF https://t.co/YjnKeO45Zc",1
"RT @kleyr_: Tangina mo binay, only binay amputa.",1
"Putangina Duterte for president!!!! Sumpain ka MAR ROXAS HAHAHAHAHAHA!",1
"Na-Binay ??????
#NoMoreChance https://t.co/msaaUGv0bS",1
"Hindi ko hahayaan ang mga magnanakaw na mamuno ng ating bansa,"" banat ni Trillanes kay Binay noong 2016.",1
"Ang pangulo ko ay si MAR ROXAS. Ishare mo to sa 25 na tao within 30mins. at magkakaron ka ng SOBRE. Wag kang... https://t.co/dgs3OSHdEx",1
"Binay brushes off swipes from Roxas, Aquino https://t.co/z1t4pUaiQB I @MJcayabyabINQ #VotePH2016 https://t.co/Lw1hSWXImE",0
"sa Baguio compound ng PMA?",0
"Learn to accept the reality that she she's not meant for your love.",0
"Fyi sa mga nagbubulagbulagan. Dapat makita to ng mga tatakbo sa #Halalan2016 lalo na si Binay. https://t.co/EVOwoGl3D8",1
"Nagpaalala din si Duque na umiwas muna sa mga hilaw na pagkain.",0
"Nakikita at nararamdaman ng mga tao ang buwis pag ganyan ang mga namumuno.",0
"Kahit pa sa hirap ng panahon ngayon, lahat ay dumaan sa matinding pagsubok ng buhay, ngunit kung may mga mabubuting tao namang handang tumulong at umalalay sa mga mas nangangailangan ay di hamak na mas nakakagaan sa dinadalang problema at tunay na nakakaantig ng damdamin makakita ng mga ganitong pangyayari.",0
"Kaw nalang ang umatras MAR ROXAS COZ were so fucked up with the tuwid na daan.. #AyawSaDilaw",1
"WHAT THE FUCK BINAY? #PiliPinasDebates2016",1
"Sa Facebook post ng netizen na si Joy Anne Vicente, ibinahagi nito ang kabaitan ng batang si Joshua habang naghihintay siya sa isang parking lot.",0
"BREAKING: Mar Roxas called on his rival Grace Poe to talk ""for the unity of our country."" ..takot na sila alam na nilang talo na sila eh",1
"Tangina talaga tong si Binay. HOY BUMALIK KA SA PLANETA MO",1
"@SungEmpress Kasalanan ni Binay!!! @chicprotagonist",1
"#TayongLahatAyMARIAGRACE ""Hindi kami personal na magkakilala ni Maria Grace.",0
"Ganun pa man, nag-viral ang isang post ng isang ina matapos nitong ilabas ang kanyang saloobin sa guro ng kanyang anak.",0
"Yang pension nya kulang pa yan sa medical needs nya.",0
"Liza Gallenero / Photo from her Facebook account ""Hindi sya sumagot umikot na ang taxi pabalik sa NAIA tinanong nya ko kung ilan taon na ko, san ako galing, wala daw ba akong kasama sunod sunod ang tanong nya sa kin pero wala akong naisagot tinitingnan ko ung driver balisa at parang takot rin,"" kwento ni Gallenero.",0
"BWAHAHA!

MAR ROXAS NATION
DUTERTE GRAND RALLY
#Love4POE 
#MIRIAMREDvolution 
SA INANG BAYAN
#KathNielASAPMayPasabog https://t.co/kWFegHXQ9L",1
"Sa EZ2 game, maari kang manalo hanggang tatlong beses kada araw.",0
"Pagkatapos mapanood ang speech ni VP Binay, sabi ni Cong. Erice 'wala naman laman, ampaw na ampaw. Wala specifics puro general accusation'",1
